,,,,,,,,,,,,,,,,,
企業名,中業界(メイン),中業界(サブ),本社所在地_都道府県,本社所在地,従業員数（範囲）,資本金（範囲）,売上（範囲）,企業HP,問い合わせフォーム,代表電話番号,代表メールアドレス,,,送信可否,日付,送信不可理由,
株式会社ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,Webアプリ・サービス運営,"ソフトウェア販売,受託開発,その他コンサル",東京都,東京都文京区本郷２丁目３５番１０号本郷瀬川ビル４Ｆ,"5: 300人以上~1,000人未満","0: 5,000万円未満",4: 50億円以上~300億円未満,https://www.pkshatech.com/company/about/,https://pkshatech.com/ja/contact/,03-6801-6718,,,,送信成功,2026/07/15,,
株式会社エクサウィザーズ,Webアプリ・サービス運営,"業務請負,その他IT,その他コンサル,その他機械",東京都,東京都港区芝浦４丁目２番８号,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://exawizards.com/company/,,,,,,送信不可,,必須項目の入力ができない（情報不足など）,
インテュイティブサージカル合同会社,医療機器,,東京都,東京都港区赤坂１丁目１２番３２号アーク森ビル,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,https://www.intuitive.com/ja-jp/about-us/company/legal/corporate-profile,,03-5575-1341,,,,送信不可,,メールに遷移・Googleフォーム,
株式会社ドキドキグルーヴワークス,ゲーム開発,"デザイン,ソーシャルゲーム・スマホゲーム",東京都,東京都新宿区西早稲田２丁目２１番１２号,"5: 300人以上~1,000人未満","0: 5,000万円未満",4: 50億円以上~300億円未満,https://dokidoki.co.jp/company/information/,http://dokidoki.co.jp/contact/,03-6205-6231,,,,送信成功,2026/07/15,,
株式会社ＴＯＫＩＵＭ,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,財務コンサル,その他IT",東京都,東京都中央区銀座６丁目１８番２号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://corp.tokium.jp/company/about/,https://beartail.jp/contact/,03-5829-4797,info@x.beartail.jp,,,送信成功,2026/07/15,,
スマートニュース株式会社,Webアプリ・サービス運営,"広告制作,デジタル系コンテンツ",東京都,東京都渋谷区神宮前６丁目２５番１６号,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://about.smartnews.com/ja/about/,,050-6861-7775,SmartNews-Ads-Partner-Program-inquiry@smartnews.com,,,送信不可,, お問い合わせフォーム無し,
株式会社ワンキャリア,Webアプリ・サービス運営,"人材紹介,職業紹介所,その他コンサル,求人媒体運営・求人情報誌出版",東京都,東京都渋谷区桜丘町２０番１号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://onecareer.co.jp/about/,https://onecareer.co.jp/contact/,,client-support@onecareer.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社クラウドワークス,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,ITコンサル,人材紹介",東京都,東京都港区麻布台１丁目３－１麻布台ヒルズ森ＪＰタワー,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://crowdworks.co.jp/company,https://crowdworks.co.jp/contact/,03-6450-3088,client-cw-consulting@crowdworks.co.jp,,,送信成功,2026/07/15,,
株式会社イルカ,ゲーム開発,"経営コンサル,動画制作・CG制作,映画・アニメーション,CM制作・映像制作",東京都,東京都新宿区新宿５丁目１５番５号,"5: 300人以上~1,000人未満","0: 5,000万円未満",4: 50億円以上~300億円未満,https://www.ilca.co.jp/company/,http://www.ilca.co.jp/contact/,,,,,送信成功,2026/07/15,,
丸紅ＩＴソリューションズ株式会社,Webアプリ・サービス運営,"ITコンサル,受託開発",東京都,東京都文京区後楽２丁目６番１号,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,https://www.marubeni-itsol.com/corp/office/hq.html,https://www.marubeni-itsol.com/cgi-bin/contactus/001/index.html,03-4512-3000,,,,送信成功,2026/07/15,,
デンツプライシロナ株式会社,医療機器,その他製造,東京都,東京都中央区銀座８丁目２１番１号住友不動産汐留浜離宮ビル,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,http://www.dentsply-sankin.com/index.php,http://www.dentsply-sankin.com/ja-jp/service/contact.html,03-5114-1001,,,,送信不可,,,危険なサイトの画面移行する
クラレノリタケデンタル株式会社,医療機器,"その他製造,研究・調査・リサーチ",岡山県,岡山県倉敷市酒津１６２１番地,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,https://www.kuraraynoritake.jp/corporate/about.html,http://www.kuraraynoritake.jp/contact/contact.html,03-6701-1000,,,,送信成功,2026/07/15,,
Ｓｕｐｅｒｓｈｉｐ株式会社,クラウド系/SaaS/ASPサービス,"コンテンツ制作,その他コンサル,Webマーケコンサル,Webアプリ・サービス運営,総合広告代理店",東京都,東京都港区虎ノ門２丁目１０番１号,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,2: 3億円以上~10億円未満,https://supership.jp/about/company/,https://docs.google.com/forms/d/e/1FAIpQLSdPKJmasNbgWElJAaeEt0-G6yvppZeCMLXmbEoZ8FlvKSC9hg/viewform,03-6365-7001,,,,送信成功,2026/07/15,,
株式会社ＳＵＰＥＲ　ＳＴＵＤＩＯ,クラウド系/SaaS/ASPサービス,Webアプリ・サービス運営,東京都,東京都目黒区下目黒２丁目２３番１８号目黒山手通ビル８階,"5: 300人以上~1,000人未満",4: 50億円以上~150億円未満,4: 50億円以上~300億円未満,https://www.super-studio.jp/about,https://super-studio.jp/inquiry,03-3234-6701,support@ec-force.com,,,送信成功,2026/07/15,,
株式会社ＲＯＸＸ,Webアプリ・サービス運営,"その他IT,その他人材,職業紹介所,人材派遣",東京都,東京都新宿区新宿６丁目２７番３０号,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,https://roxx.co.jp/,https://get-shukatsu.com/contact/,03-6777-7070,info@agent-bank.com,,,送信不可,,メールに遷移・Googleフォーム,
ＡｎｙＭｉｎｄ　Ｊａｐａｎ株式会社,Webアプリ・サービス運営,販促コンサル,東京都,東京都港区六本木６丁目１０番１号六本木ヒルズ森タワー３１階,"5: 300人以上~1,000人未満",,4: 50億円以上~300億円未満,https://anymindgroup.com/ja/,https://adasiaholdings.com/contact/,03-3584-0330,pr@adasiaholdings.com,,,送信成功,2026/07/15,,
株式会社コドモン,Webアプリ・サービス運営,その他IT,東京都,東京都品川区西五反田８丁目４番１３号五反田ＪＰビルディング１０階,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.codmon.co.jp/company,https://www.codmon.co.jp/contact,03-6633-2802,info_college@codmon.com,,,送信成功,2026/07/15,,
ＬＩＮＥ　Ｄｉｇｉｔａｌ　Ｆｒｏｎｔｉｅｒ株式会社,Webアプリ・サービス運営,"出版,その他ゲーム",東京都,東京都港区赤坂９丁目７番１号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://ldfcorp.com/ja/company/info/,,,,,,送信成功,2026/07/15,,
株式会社ビザスク,Webアプリ・サービス運営,"セミナー,翻訳・通訳,組織コンサル,経営コンサル,企業研修",東京都,東京都目黒区青葉台４丁目７番７号住友不動産青葉台ヒルズ９Ｆ,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,https://corp.visasq.co.jp/company/base,https://visasq.co.jp/contact,03-6407-8405,contact@visasq.com,,,送信成功,2026/07/15,,
ＺｅｎＧｒｏｕｐ株式会社,Webアプリ・サービス運営,"Webアプリ・サービス運営,販促コンサル",大阪府,大阪府大阪市中央区瓦町１丁目７－７大阪堺筋Ｌタワー１０Ｆ,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://zen.group/,,06-6170-9364,info@despair-atenari.com,,,送信成功,2026/07/15,,
株式会社ツクルバ,Webアプリ・サービス運営,"不動産売買・仲介,デザイン,レンタルスペース,その他コンサル",東京都,東京都渋谷区恵比寿４丁目３番１４号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://tsukuruba.com/company/outline/,http://tsukuruba.com/inquiry/ir/,03-5725-0180,,,,送信不可,, お問い合わせフォーム無し,
株式会社ログラス,クラウド系/SaaS/ASPサービス,,東京都,東京都港区三田３丁目１１番２４号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.loglass.co.jp/,https://www.loglass.co.jp/contact,,ai-ir-info@loglass.co.jp,,,送信成功,2026/07/15,,
ＧＭＯサイバーセキュリティｂｙイエラエ株式会社,情報セキュリティ,"その他IT,ITコンサル",東京都,東京都渋谷区桜丘町２６番１号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://cocon-corporation.com,https://cocon-corporation.com/contact/,03-6276-5590,,,,送信不可,, お問い合わせフォーム無し,
レバテック株式会社,Webアプリ・サービス運営,"セミナー,職業紹介所,求人媒体運営・求人情報誌出版,人材紹介,IT系教育,人材派遣",東京都,東京都渋谷区渋谷２丁目２４番１２号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://levtech.co.jp/aboutus/company/,https://levtech.jp/contact/recruit,03-5774-1762,privacy_ltc@levtech.jp,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,
ウェルスナビ株式会社,クラウド系/SaaS/ASPサービス,Webアプリ・サービス運営,東京都,東京都品川区西五反田８丁目４番１３号五反田ＪＰビルディング９階,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://www.wealthnavi.com/,https://www.wealthnavi.com/support/inquiry,03-6632-9578,,,,送信成功,2026/07/15,,
ＳＴＯＲＥＳ株式会社,Webアプリ・サービス運営,その他IT,東京都,東京都渋谷区東３丁目１６番３号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.st.inc/company,https://hey.jp/contact,0120-343-577,,,,送信成功,2026/07/15,,
ＧＲＯＯＶＥ　Ｘ株式会社,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,産業用ロボット,その他機械",東京都,東京都中央区日本橋浜町３丁目４２番３号,"5: 300人以上~1,000人未満",,4: 50億円以上~300億円未満,https://groove-x.com/,http://www.groove-x.com/contact/,,info@groove-x.com,,,送信成功,2026/07/15,,
株式会社ＮＯＶＡキンダー,Webアプリ・サービス運営,Webアプリ・サービス運営,東京都,東京都品川区東品川２丁目３番１２号,"5: 300人以上~1,000人未満",,4: 50億円以上~300億円未満,https://www.nova.co.jp/kinder/corporation/,,,,,,送信不可,, お問い合わせフォーム無し,
ＦＰＴニアショアジャパン株式会社,Webアプリ・サービス運営,"建築構造設計,その他サービス,情報セキュリティ,人材紹介,人材派遣",沖縄県,沖縄県那覇市久米２丁目２番地１０号６階,"5: 300人以上~1,000人未満",,3: 10億円以上~50億円未満,https://www.fpt-software.jp/fpt-okinawa/,,098-861-7311,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,このサイトにアクセスできません
ｅＢＡＳＥ－ＰＬＵＳ株式会社,Webアプリ・サービス運営,受託開発,大阪府,大阪府大阪市北区豊崎５丁目４番９号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,http://www.ebase-plus.co.jp/index.html,https://www2.ebase-jp.com/support/form/eb_plus_form/recruit_form.html,06-6371-5585,,,,送信成功,2026/07/15,,
株式会社ｈａｃｏｍｏｎｏ,Webアプリ・サービス運営,ジム・フィットネス,東京都,東京都渋谷区神宮前２丁目３４番１７号住友不動産原宿ビル５階,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.hacomono.co.jp/company/,https://docs.google.com/forms/d/e/1FAIpQLScecZJI8fbEWm-bzRPCqeGyJ8wcjHQaENCOqydD6hZ3mj88Lw/viewform,03-6778-4949,,,,送信成功,2026/07/15,,
クラシル株式会社,Webアプリ・サービス運営,"経営コンサル,広告制作,その他広告・制作,総合広告代理店",東京都,東京都港区芝浦３丁目１番１号ｍｓｂＴａｍａｃｈｉ田町ステーションタワーＮ２３階,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://dely.jp/about/company,,,contact.pr@dely.jp,,,送信成功,2026/07/15,,
株式会社ニーリー,Webアプリ・サービス運営,"経営コンサル,組織コンサル,受託開発",東京都,東京都中央区日本橋堀留町１丁目９番８号,"5: 300人以上~1,000人未満",4: 50億円以上~150億円未満,4: 50億円以上~300億円未満,https://www.nealle.com/,https://www.nealle.com/#about,,info@nealle.com,,,送信成功,2026/07/15,,
サークレイス株式会社,Webアプリ・サービス運営,"ITコンサル,受託開発,Webアプリ・サービス運営,クラウド系/SaaS/ASPサービス",東京都,東京都中央区日本橋２丁目１番３号,"5: 300人以上~1,000人未満",2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://www.circlace.com/,https://www.circlace.com/about/inquiry,03-6832-7375,privacy@circlace.com,,,送信成功,2026/07/15,,
株式会社カケハシ,Webアプリ・サービス運営,"その他IT,医療機器,その他医療・福祉",東京都,東京都港区西新橋２丁目８番６号,"5: 300人以上~1,000人未満",4: 50億円以上~150億円未満,4: 50億円以上~300億円未満,https://www.kakehashi.life/corporate,https://kakehashi.life/inquiry.html,03-5357-7853,inquiry@kakehashi.life,,,送信不可,, お問い合わせフォーム無し,
ラーニンギフト株式会社,クラウド系/SaaS/ASPサービス,"その他IT,Webアプリ・サービス運営",東京都,東京都新宿区西新宿４丁目２番１８号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.learningift.com/company,,,,,,送信成功,2026/07/15,,
株式会社マイベスト,Webアプリ・サービス運営,"その他IT,デジタル系コンテンツ",東京都,東京都中央区築地７丁目１７番１号,"5: 300人以上~1,000人未満","1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://my-best.com/company/profile,https://my-best.com/contact,03-6712-7460,user-support@my-best.com,,,送信成功,2026/07/15,,
株式会社セルシス,Webアプリ・サービス運営,,東京都,東京都新宿区西新宿４丁目１５番７号,"5: 300人以上~1,000人未満",3: 10億円以上~50億円未満,4: 50億円以上~300億円未満,https://www.celsys.com/company/,https://www.artspark.co.jp/irinfo_inquiry/,03-3372-3156,ir@artspark.co.jp,,,送信不可,, お問い合わせフォーム無し,
株式会社ヤプリ,Webアプリ・サービス運営,,東京都,東京都港区六本木３丁目２番１号住友不動産六本木グランドタワー４１階,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://yappli.co.jp/company/,https://yapp.li/support.html,03-6277-6444,contact@yappli.co.jp,,,送信成功,2026/07/15,,
株式会社ＴＹＬ,Webアプリ・サービス運営,"人材紹介,求人媒体運営・求人情報誌出版",東京都,東京都港区芝２丁目１３番４号住友不動産芝ビル４号館４階,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://pet-tyl.co.jp/company/,http://pet-tyl.co.jp/contact/,,info-tyl@pet-tyl.co.jp,,,送信成功,2026/07/15,,
テックファーム株式会社,Webアプリ・サービス運営,"その他IT,受託開発,ITインフラストラクチャー",東京都,東京都新宿区西新宿３丁目２０番２号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://www.techfirm.co.jp/company,https://www.techfirm.co.jp/inquiry.html,03-5365-7888,,,,送信成功,2026/07/15,,
株式会社データＸ,Webアプリ・サービス運営,その他IT,東京都,東京都新宿区西新宿７丁目２０番１号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,https://data-x.co.jp/,,03-5937-8555,,,,送信不可,, お問い合わせフォーム無し,
ＦｕｔｕｒｅＯｎｅ株式会社,Webアプリ・サービス運営,"ソフトウェア販売,人材派遣",東京都,東京都品川区大崎２丁目９番３号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,http://www.future-one.co.jp/,https://www.future-one.co.jp/contact.html,03-5719-6122,,,,送信成功,2026/07/15,,
株式会社ＴＥＮＴＩＡＬ,クラウド系/SaaS/ASPサービス,"化粧品販売,その他広告・制作",東京都,東京都品川区北品川６丁目７番２９号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://corp.tential.jp/company/overview/,https://corp.tential.jp/contact,,info@tential.jp,,,送信成功,2026/07/15,,
株式会社スタディスト,Webアプリ・サービス運営,その他IT,東京都,東京都千代田区神田錦町１丁目６番地,4: 50人以上~300人未満,2: 3億円以上~10億円未満,4: 50億円以上~300億円未満,https://studist.jp/company/company-profile,http://studist.jp/contact/,03-6206-9330,contact-vn@studist.jp,,,送信成功,2026/07/15,,
株式会社ＲｅｖＣｏｍｍ,Webアプリ・サービス運営,"デジタル系コンテンツ,Webアプリ・サービス運営",東京都,東京都千代田区丸の内２丁目４番１号丸の内ビルディング２８階,4: 50人以上~300人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://www.revcomm.com/ja/,https://www.revcomm.co.jp/contact/,03-4405-4621,info@revcomm.co,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社ＨＲＢｒａｉｎ,クラウド系/SaaS/ASPサービス,Webアプリ・サービス運営,東京都,東京都港区三田３丁目５番１９号,4: 50人以上~300人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,http://www.mosquitone.co.jp/,https://www.hrbrain.co.jp/contact/,03-6451-1350,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,このサイトにアクセスできません
